Feature Group,Model,Accuracy,Acc Std,Macro F1,F1 Std,N Features
basic_surface,Majority Class,0.3350140056022409,0.0013722631612230914,0.16729559748427675,0.0005135198622187046,10
basic_surface,Stratified Random,0.385266106442577,0.001578102635406524,0.3859533741249634,0.001678839935143525,10
basic_surface,Logistic Regression,0.5008683473389356,0.025589488638335628,0.49758775997363214,0.027522030335111636,10
basic_surface,Linear SVM,0.4874789915966386,0.026851862629205484,0.479960414794874,0.033944518163199607,10
basic_surface,Random Forest,0.47745098039215683,0.023734268943604454,0.47511548003909343,0.026698219700552615,10
basic_surface,Gradient Boosting,0.4371848739495799,0.026652627945534947,0.4353814871912034,0.031238649515738168,10
repetition,Majority Class,0.3350140056022409,0.0013722631612230914,0.16729559748427675,0.0005135198622187046,10
repetition,Stratified Random,0.385266106442577,0.001578102635406524,0.3859533741249634,0.001678839935143525,10
repetition,Logistic Regression,0.5091736694677871,0.03496842972189629,0.5074685531104781,0.036196907057469634,10
repetition,Linear SVM,0.5058263305322128,0.05056263718567784,0.5011857196780967,0.05041638914332584,10
repetition,Random Forest,0.4874649859943977,0.02498773718658501,0.48415511459311433,0.022578033219990874,10
repetition,Gradient Boosting,0.48081232492997206,0.07374132461733912,0.47669692992143065,0.07217989010314314,10
pronoun_person,Majority Class,0.3350140056022409,0.0013722631612230914,0.16729559748427675,0.0005135198622187046,10
pronoun_person,Stratified Random,0.385266106442577,0.001578102635406524,0.3859533741249634,0.001678839935143525,10
pronoun_person,Logistic Regression,0.5159383753501401,0.044258979522776555,0.5150970159220063,0.045113209395855405,10
pronoun_person,Linear SVM,0.5226330532212885,0.04483235499561843,0.5206739705039759,0.04614226817760839,10
pronoun_person,Random Forest,0.4739495798319327,0.05023309912457967,0.470469502131016,0.05076917467476462,10
pronoun_person,Gradient Boosting,0.4789075630252101,0.05610998756755302,0.47557835303050827,0.054547128820022835,10
semantic_lexicon,Majority Class,0.3350140056022409,0.0013722631612230914,0.16729559748427675,0.0005135198622187046,12
semantic_lexicon,Stratified Random,0.385266106442577,0.001578102635406524,0.3859533741249634,0.001678839935143525,12
semantic_lexicon,Logistic Regression,0.3935994397759104,0.024228380333992203,0.3864787935602662,0.025743981542552693,12
semantic_lexicon,Linear SVM,0.39530812324929976,0.016137225485550164,0.3888244160825046,0.018257725658747913,12
semantic_lexicon,Random Forest,0.41700280112044813,0.026929477257548327,0.4137753857095185,0.0266664880227256,12
semantic_lexicon,Gradient Boosting,0.4185854341736695,0.045999003512184465,0.4161710146553149,0.046275260213917264,12
dicta_pos,Majority Class,0.3350140056022409,0.0013722631612230914,0.16729559748427675,0.0005135198622187046,13
dicta_pos,Stratified Random,0.385266106442577,0.001578102635406524,0.3859533741249634,0.001678839935143525,13
dicta_pos,Logistic Regression,0.4840336134453781,0.031119048848217434,0.48079898093294704,0.03460503332619355,13
dicta_pos,Linear SVM,0.48738095238095236,0.030590825964310956,0.4798708088379037,0.03427590108024425,13
dicta_pos,Random Forest,0.5058263305322128,0.0414950659826713,0.5036332157335903,0.04223713295054863,13
dicta_pos,Gradient Boosting,0.4958263305322129,0.018971290053432264,0.49047356318709207,0.019141580036386285,13
dicta_morphology,Majority Class,0.3350140056022409,0.0013722631612230914,0.16729559748427675,0.0005135198622187046,12
dicta_morphology,Stratified Random,0.385266106442577,0.001578102635406524,0.3859533741249634,0.001678839935143525,12
dicta_morphology,Logistic Regression,0.45397759103641455,0.03947330348536549,0.4467852841018919,0.04172120885447761,12
dicta_morphology,Linear SVM,0.45733893557422967,0.04077659356087815,0.4295848145957331,0.04506164620739082,12
dicta_morphology,Random Forest,0.45885154061624644,0.04917274200175754,0.45486138864941533,0.04912470943396497,12
dicta_morphology,Gradient Boosting,0.4621008403361345,0.06688120741305945,0.45991124752066287,0.06716680686549178,12
dicta_binyan,Majority Class,0.3350140056022409,0.0013722631612230914,0.16729559748427675,0.0005135198622187046,7
dicta_binyan,Stratified Random,0.385266106442577,0.001578102635406524,0.3859533741249634,0.001678839935143525,7
dicta_binyan,Logistic Regression,0.41040616246498596,0.06210955769050093,0.39981532364464323,0.06440101852476289,7
dicta_binyan,Linear SVM,0.4036694677871148,0.0587632844757858,0.3904780325999993,0.061425540758493526,7
dicta_binyan,Random Forest,0.3987535014005602,0.02602467026504984,0.3995238604844221,0.025700723379188595,7
dicta_binyan,Gradient Boosting,0.4170168067226891,0.02323647177406731,0.4172996578337848,0.024496468998445285,7
dicta_lemma_root,Majority Class,0.3350140056022409,0.0013722631612230914,0.16729559748427675,0.0005135198622187046,3
dicta_lemma_root,Stratified Random,0.385266106442577,0.001578102635406524,0.3859533741249634,0.001678839935143525,3
dicta_lemma_root,Logistic Regression,0.42556022408963584,0.031036680013831117,0.4064374439804534,0.03233572071244813,3
dicta_lemma_root,Linear SVM,0.42217086834733897,0.03324593678938274,0.3953733751243528,0.03345119045547206,3
dicta_lemma_root,Random Forest,0.43722689075630256,0.04463391408199842,0.43132416133006946,0.04506804644084802,3
dicta_lemma_root,Gradient Boosting,0.4170868347338936,0.03953007730309857,0.412308403291713,0.03871525125261775,3
punctuation_formatting,Majority Class,0.3350140056022409,0.0013722631612230914,0.16729559748427675,0.0005135198622187046,8
punctuation_formatting,Stratified Random,0.385266106442577,0.001578102635406524,0.3859533741249634,0.001678839935143525,8
punctuation_formatting,Logistic Regression,0.5059103641456583,0.06130641986233361,0.47126304462385676,0.06495597843803932,8
punctuation_formatting,Linear SVM,0.48914565826330536,0.06297501891916997,0.43611891600814295,0.06378641687728884,8
punctuation_formatting,Random Forest,0.4690196078431373,0.028480198447050784,0.46653150595734233,0.03167165141643964,8
punctuation_formatting,Gradient Boosting,0.47408963585434166,0.027680789336333052,0.4726482855361418,0.026457420645497966,8
last_word,Majority Class,0.3350140056022409,0.0013722631612230914,0.16729559748427675,0.0005135198622187046,3
last_word,Stratified Random,0.385266106442577,0.001578102635406524,0.3859533741249634,0.001678839935143525,3
last_word,Logistic Regression,0.4606862745098039,0.025720006320705157,0.45407804911705674,0.0254682741377404,3
last_word,Linear SVM,0.44726890756302523,0.022858498751457446,0.431608431921752,0.026454966809356283,3
last_word,Random Forest,0.4086554621848739,0.042729543116604304,0.40759317015248075,0.042940451570080515,3
last_word,Gradient Boosting,0.4219467787114846,0.0438109386748826,0.4219463329125799,0.044691658445837064,3
all_numeric,Majority Class,0.3350140056022409,0.0013722631612230914,0.16729559748427675,0.0005135198622187046,132
all_numeric,Stratified Random,0.385266106442577,0.001578102635406524,0.3859533741249634,0.001678839935143525,132
all_numeric,Logistic Regression,0.5980252100840336,0.036640390059933664,0.5967045583958869,0.03620389087388868,132
all_numeric,Linear SVM,0.5711624649859944,0.026032357220747312,0.5694569039767359,0.025483126502481426,132
all_numeric,Random Forest,0.5896498599439777,0.012806696956972166,0.587130704837457,0.011190024390957764,132
all_numeric,Gradient Boosting,0.5828851540616247,0.043466688349820246,0.5813637849555235,0.04767203978895963,132
reduced_non_redundant,Majority Class,0.3350140056022409,0.0013722631612230914,0.16729559748427675,0.0005135198622187046,124
reduced_non_redundant,Stratified Random,0.385266106442577,0.001578102635406524,0.3859533741249634,0.001678839935143525,124
reduced_non_redundant,Logistic Regression,0.5963585434173668,0.03269967712415824,0.5952477409342741,0.03248427712338976,124
reduced_non_redundant,Linear SVM,0.5795238095238094,0.039918585593952366,0.5765389941295579,0.03801741637135305,124
reduced_non_redundant,Random Forest,0.589593837535014,0.012424287570691675,0.5869835813502388,0.01333710170705859,124
reduced_non_redundant,Gradient Boosting,0.6046218487394958,0.056275618250325184,0.601785170070333,0.05994875021061301,124
tfidf_unigrams,Logistic Regression,0.6298459383753501,0.027700177998000633,0.6229481213522647,0.030199357376190224,5000
tfidf_unigrams,Linear SVM,0.6248039215686274,0.027489197658086533,0.6176664651682451,0.023000026758854365,5000
tfidf_unigrams,Multinomial NB,0.5945658263305322,0.033723605668706115,0.5798517786857289,0.028771354395372283,5000
tfidf_bigrams,Logistic Regression,0.6264705882352941,0.012256222417856455,0.6224356736777721,0.01089240359274834,5000
tfidf_bigrams,Linear SVM,0.6331512605042017,0.030233537722070613,0.6271135018246551,0.024418927466032362,5000
tfidf_bigrams,Multinomial NB,0.609733893557423,0.02375483916216051,0.606786922616045,0.026561562445360842,5000
numeric+tfidf_bigrams,Logistic Regression,0.5963865546218488,0.04150239727523987,0.5946351002023957,0.04171545749131672,5132
numeric+tfidf_bigrams,Linear SVM,0.5996218487394958,0.0282704252122007,0.5976502728019806,0.029541511695022653,5132
